n,CPU_Time(s),GPU_Time(s),Speedup
256,0.0653471,0.237326,0.275347
384,0.242397,0.0033038,73.3693
512,0.76923,0.0070449,109.19
640,1.33232,0.0122103,109.114
768,2.55723,0.0198169,129.043
